<<<<<<< HEAD
name,age,frequency,timespent,mood,stress,gender,platform
anu,15,20,3,happy,2,male,WhatsApp
siya,20,22,4,sad,7,female,Instagram
krish,25,30,6,very sad,10,male,Instagram
john,30,30,5,anxious,9,male,Instagram
reva,35,25,4,sad,6,female,Facebook
tanu,40,28,4,neutral,5,female,YouTube
vidya,45,20,3,sad,6,female,Facebook
priya,50,22,3,happy,3,female,WhatsApp
pratik,55,15,2,happy,2,male,WhatsApp
rajan,58,10,1,happy,1,male,WhatsApp
amol,18,15,3,neutral,4,male,Snapchat
kiran,28,25,5,sad,7,female,Snapchat
minal,32,20,4,sad,7,female,Snapchat
omkar,38,30,6,anxious,8,male,Facebook
vikas,42,18,3,neutral,5,male,Snapchat
geeta,48,12,2,happy,3,female,WhatsApp
sanju,52,22,4,sad,6,male,YouTube
pooja,26,28,5,very sad,9,female,Instagram
yogesh,35,16,3,neutral,4,male,Snapchat
sneha,40,20,4,sad,7,female,Facebook
deepak,22,18,2,happy,3,male,WhatsApp
neha,30,25,5,anxious,8,female,YouTube
ravi,34,20,4,sad,6,male,Snapchat
sakshi,36,24,4,neutral,5,female,Snapchat
rahul,44,28,6,very sad,10,male,Instagram
sheetal,50,15,2,happy,2,female,Facebook
manoj,29,26,5,sad,7,male,Facebook
shruti,31,20,3,neutral,4,female,Snapchat
nikhil,27,18,2,happy,3,male,WhatsApp
jyoti,23,19,3,sad,6,female,YouTube
parag,33,30,6,very sad,9,male,Snapchat
sonal,37,24,4,sad,6,female,Snapchat
raj,41,22,3,neutral,5,male,Facebook
divya,46,20,3,happy,3,female,WhatsApp
anil,49,18,2,happy,2,male,WhatsApp
vaishali,39,25,4,anxious,8,female,Instagram
ishaan,43,30,5,very sad,10,male,Instagram
meena,47,16,2,neutral,4,female,YouTube
om,51,12,2,happy,2,male,WhatsApp
kavya,19,22,4,sad,7,female,Snapchat
sarthak,21,26,5,anxious,8,male,Instagram
shreya,24,20,3,neutral,5,female,YouTube
tej,27,30,6,very sad,9,male,Instagram
nisha,30,18,2,happy,3,female,WhatsApp
arjun,32,22,3,sad,6,male,Snapchat
riya,34,24,4,sad,7,female,Snapchat
